file_name,text,quality
calories_065.png,Energi Total 100 kkal,overlap
calories_066.png,Energi Total 100 kkal,overlap
calories_067.png,Energi Total 60 kkal,overlap
calories_068.png,Energi Total 60 kkal,overlap
calories_069.png,Energi Total 100 kkal,overlap
calories_070.png,Energi Total 100 kkal,overlap
calories_071.png,Energi Total / Total Calories 110 kkal / 110 kcal,clear
calories_072.png,Energi Total / Total Calories 120 kkal / 120 kcal,overlap
calories_073.png,Energi Total / Calories / 卡路里 160 kkal / kcal,clear
calories_074.png,Energi Total/ Total Calories 180 kkal/ 180 kcal,glare
calories_075.png,Energi Total / Total Calories 100 kkal / 100 kcal,clear
calories_076.png,Energi total 15 kkal,overlap
calories_077.png,Energi Total/Total Calories 110 kkal,overlap
calories_078.png,Energi Total/Total Calories 120 kkal,blur
calories_079.png,Energi Total/ Total Calories 120 kkal,clear
calories_080.png,Energi Total (Total energy) 170 kkal,overlap
calories_081.png,Energi Total (Total energy) 170 kkal,clear
calories_082.png,Energi Total / Total Energy …....130kkal,clear
calories_083.png,Energi Total / Total Calories 130 kkal / kcal,overlap
calories_084.png,Energi Total 80 kkal,overlap
carbs_001.png,Karbohidrat total 20 g,blur
carbs_002.png,Karbohidrat Total 36 g,glare
carbs_003.png,Karbohidrat Total/ 14g,glare
carbs_004.png,Karbohidrat Total 11 g,glare
carbs_005.png,Karbohidrat Total/Total Carbohydrate 8 g,clear
carbs_006.png,Karbohidrat Total/Total Carbohydrate 9 g,overlap
carbs_007.png,Karbohidrat Total / Total Carbohydrate 4 g,overlap
carbs_008.png,Karbohidrat Total 24 g,clear
carbs_009.png,Karbohidrat total 8 g,clear
carbs_010.png,Karbohidrat total 19 g,overlap
carbs_011.png,Karbohidrat Total 5g,clear
carbs_012.png,Karbohidrat Total 11 g,clear
carbs_013.png,Karbohidrat Total 22 g,overlap
carbs_014.png,Karbohidrat Total 37 g,clear
carbs_015.png,Karbohidrat Total/Total Carbohydrate 11 g,overlap
carbs_016.png,Karbohidrat Total/Total Carbohydrate 12 g,glare
carbs_017.png,Karbohidrat Total 23 g,clear
carbs_018.png,Karbohidrat Total 21 g,overlap
carbs_019.png,Karbohidrat Total 16 g,overlap
carbs_020.png,Karbohidrat Total/Total Carbohydrate 20 g,overlap
carbs_021.png,Karbohidrat Total/Total Carbohydrate 22 g,overlap
carbs_022.png,Karbohidrat Total/Total Carbohydrate 21 g,blur
carbs_023.png,Karbohidrat Total 26 g,overlap
carbs_024.png,Karbohidrat Total/Total Carbohydrate 29 g,clear
carbs_025.png,Karbohidrat Total 27 g,overlap
carbs_026.png,Karbohidrat Total/Total Carbohydrate 24 g,overlap
carbs_027.png,Karbohidrat Total/Total Carbohydrate 24 g,overlap
carbs_028.png,Karbohidrat Total/Total Carbohydrate 21 g,clear
carbs_029.png,Karbohidrat Total (Total Carbohydrate) 30 g,glare
carbs_030.png,Karbohidrat Total/Total Carbohydrate 26 g,clear
carbs_031.png,Karbohidrat Total 11 g,overlap
carbs_032.png,Karbohidrat Total 12 g,overlap
carbs_033.png,Karbohidrat total / Total carbohydrate 27 g,glare
carbs_034.png,Karbohidrat Total 26 g,clear
carbs_035.png,Karbohidrat Total 20 g,overlap
carbs_036.png,Karbohidrat Total 16g,overlap
carbs_037.png,Karbohidrat total/Total carbohydrate  16 g,overlap
carbs_038.png,Karbohidrat total/Total carbohydrate  16 g,overlap
carbs_039.png,Karbohidrat total / Total carbohydrate 12 g,overlap
carbs_040.png,Karbohidrat total 34 g,clear
carbs_041.png,Karbohidrat total / Total carbohydrate 12 g,overlap
carbs_042.png,Karbohidrat Total 8 g,clear
carbs_043.png,Karbohidrat Total 21 g,overlap
carbs_044.png,Karbohidrat Total 27 g,overlap
carbs_045.png,Karbohidrat Total/Total Carbohydrate 23 g,overlap
carbs_046.png,Karbohidrat Total / Total Carbohydrate 27 g ,overlap
carbs_047.png,Karbohidrat Total 14 g,clear
carbs_048.png,Karbohidrat Total 1 g,clear
carbs_049.png,Karbohidrat Total 1 g,overlap
carbs_050.png,Karbohidrat Total 11 g,clear
carbs_051.png,Karbohidrat Total 11 g,overlap
carbs_052.png,Karbohidrat Total 11 g,clear
carbs_053.png,Karbohidrat Total 1 g,overlap
carbs_054.png,Karbohidrat Total 21 g,glare
carbs_055.png,Karbohidrat total / Total carbohydrate 12 g,clear
carbs_056.png,karbohidrat Total/Total Carbohydrate 28 g,overlap
carbs_057.png,Karbohidrat 11 g,clear
carbs_058.png,Total Carbohydrate/Karbohidrat Total 13 g,clear
carbs_059.png,Karbohidrat Total 11 g,clear
carbs_060.png,Karbohidrat Total 29 g,clear
carbs_061.png,Karbohidrat Total 12 g,glare
carbs_062.png,Karbohidrat Total/Total Carbohydrate 15 g,overlap
carbs_063.png,Karbohidrat Total 23 g,overlap
carbs_064.png,Karbohidrat Total 23 g,blur
carbs_065.png,Karbohidrat Total 22 g,overlap
carbs_066.png,Karbohidrat Total 11 g,overlap
carbs_067.png,Karbohidrat Total 10 g,clear
carbs_068.png,Karbohidrat Total 22 g,overlap
carbs_069.png,Karbohidrat Total 23 g,overlap
carbs_070.png,Karbohidrat Total/Total Carbohydrate 27 g,clear
carbs_071.png,Karbohidrat Total / Total Carbohydrate 29 g,clear
carbs_072.png,Karbohidrat Total / Total Carbohydrate / 總碳水化合物  37g,clear
carbs_073.png,Karbohidrat Total/ Total Carbohydrate 44 g,overlap
carbs_074.png,Karbohidrat Total/Total Carbohydrate 26 g,clear
carbs_075.png,Karbohidrat Total 3 g,overlap
carbs_076.png,Karbohidrat Total/Total Carbohydrate 29 g,overlap
carbs_077.png,Karbohidrat Total/Total Carbohydrate 30 g,clear
carbs_078.png,Karbohidrat Total/Total Carbohydrate 30 g,clear
carbs_079.png,Karbohidrat Total / Total Carbohydrate 43 g,overlap
carbs_080.png,Karbohidrat Total / Total Carbohydrate 43 g,clear
carbs_081.png,Karbohidrat Total/Total Carbohydrate.................24 g ,clear
carbs_082.png,Karbohidrat Total / Total Carbohydrate 22 g,overlap
carbs_083.png,Karbohidrat Total 9 g,clear
carbs_084.png,Karbohidrat Total/Total Carbohydrate 22 g,overlap
fat_001.png,Lemak total 6 g,blur
fat_002.png,Lemak Total 2 g,glare
fat_003.png,Lemak Total / Total Fat 4 g,clear
fat_004.png,Lemak Total 6 g,glare
fat_005.png,Lemak Total/Total Fat 9 g,glare
fat_006.png,Lemak Total/Total Fat 8 g,overlap
fat_007.png,Lemak Total / Total Fat 12 g,blur
fat_008.png,Lemak Total (Total Fat) 4 g,clear
fat_009.png,Lemak total 0 g,blur
fat_010.png,Lemak total 3 g,blur
fat_011.png,Lemak Total 0g,clear
fat_012.png,Lemak Total 6 g,clear
fat_013.png,Lemak Total 0 g,clear
fat_014.png,Lemak Total 0 g,clear
fat_015.png,Lemak Total/ Total Fat 0 g,overlap
fat_016.png,Lemak Total/ Total Fat 0 g,overlap
fat_017.png,Lemak Total 0 g,overlap
fat_018.png,Lemak Total 0 g,clear
fat_019.png,Lemak Total 0 g,clear
fat_020.png,Lemak Total/Total Fat 2 g,overlap
fat_021.png,Lemak Total/Total Fat 2.5 g,overlap
fat_022.png,Lemak Total/Total Fat 0 g,overlap
fat_023.png,Lemak Total 2 g,clear
fat_024.png,"Lemak Total / Total Fat 3,5 g",clear
fat_025.png,Lemak Total 2 g,clear
fat_026.png,Lemak Total / Total Fat 5 g,clear
fat_027.png,Lemak Total / Total Fat 5 g,clear
fat_028.png,Lemak Total / Total Fat 5 g,clear
fat_029.png,Lemak Total (Total Fat) 4.5 g,glare
fat_030.png,Lemak Total / Total Fat 4.5 g,clear
fat_031.png,Lemak Total 2.5 g,clear
fat_032.png,Lemak Total 0 g,overlap
fat_033.png,Lemak Total / Total Fat 0 g,overlap
fat_034.png,Lemak Total 0 g,clear
fat_035.png,Karbohidrat Total 16 g,overlap
fat_036.png,Lemak Total 0 g,clear
fat_037.png,Lemak Total 0g,overlap
fat_038.png,Lemak Total 0g,overlap
fat_039.png,Lemak total / Total fat 0 g,overlap
fat_040.png,Lemak total / Total fat 0 g,overlap
fat_041.png,Lemak total / Total fat 0 g,overlap
fat_042.png,Lemak total 0 g,clear
fat_043.png,Lemak total / Total fat 0 g,overlap
fat_044.png,Lemak Total 0 g,clear
fat_045.png,Lemak Total 0 g,overlap
fat_046.png,Lemak Total 0 g,overlap
fat_047.png,Lemak Total / Total Fat 0 g,clear
fat_048.png,Lemak Total / Total Fat 0 g,overlap
fat_049.png,Lemak Total 0 g,clear
fat_050.png,Lemak Total 0 g,clear
fat_051.png,Lemak Total 0 g,overlap
fat_052.png,Lemak Total 1 g,clear
fat_053.png,Lemak Total 1 g,overlap
fat_054.png,Lemak Total 1.5 g,clear
fat_055.png,Lemak Total 0 g,overlap
fat_056.png,Lemak Total 2.5 g 4 %,overlap
fat_057.png,Lemak Total / Total fat 0 g,clear
fat_058.png,Lemak Total / Total Fat 5 g,overlap
fat_059.png,Lemak Total 0 g,clear
fat_060.png,Total Fat/Lemak Total 0 g,overlap
fat_061.png,Lemak Total 1.5 g,glare
fat_062.png,Lemak Total 0 g,clear
fat_063.png,Lemak Total 0 g,blur
fat_064.png,Lemak Total/Total Fat 1.5 g,overlap
fat_065.png,Lemak Total 1 g,overlap
fat_066.png,Lemak Total 1 g,clear
fat_067.png,Lemak Total 1.5 g,overlap
fat_068.png,Lemak Total 1.5 g,overlap
fat_069.png,Lemak Total 2.5 g,clear
fat_070.png,Lemak Total 1.5 g,clear
fat_071.png,Lemak Total 0.5 g,overlap
fat_072.png,Lemak Total / Total Fat 0 g,clear
fat_073.png,Lemak Total / Total Fat 0 g,clear
fat_074.png,Lemak Total / Total Fat / 脂肪 0 g,clear
fat_075.png,Lemak Total/ Total Fat 0 g,clear
fat_076.png,Lemak Total/Total Fat 0 g,clear
fat_077.png,Lemak Total 0g,overlap
fat_078.png,Lemak Total/Total Fat 0 g,overlap
fat_079.png,Lemak Total/Total Fat 0 g,blur
fat_080.png,Lemak Total/Total Fat 0 g,overlap
fat_081.png,Lemak total / Total Fat 0 g,overlap
fat_082.png,Lemak Total / Total Fat 0 g,clear
fat_083.png,Lemak Total/Total Fat…........2 g,clear
fat_084.png,Lemak Total / Total Fat 3.5 g,clear
sodium_001.png,Garam (Natrium) 115 mg,blur
sodium_002.png,Natrium 90 mg,clear
sodium_003.png,Garam (Natrium) / Salt (Sodium) 75 mg,glare
sodium_004.png,Garam (Natrium) 115 mg,glare
sodium_005.png,Garam (natrium)/Salt (sodium) 20 mg,blur
sodium_006.png,Garam (natrium)/Salt (sodium) 5 mg,overlap
sodium_007.png,Garam (Natrium) / Salt (Sodium) 135 mg,overlap
sodium_008.png,Garam (Natrium)(Sodium) 45 mg,clear
sodium_009.png,Garam (natrium) 310 mg,blur
sodium_010.png,Garam (natrium) 115 mg,blur
sodium_011.png,Garam (Natrium) 10mg,clear
sodium_012.png,Natrium 40 mg,clear
sodium_013.png,Garam (Natrium) 25 mg,overlap
sodium_014.png,Natrium 60 mg,blur
sodium_015.png,Garam (Natrium)/Salt (Sodium) 10 mg,clear
sodium_016.png,Garam (Natrium)/Salt (Sodium) 25 mg,blur
sodium_017.png,Garam (Natrium) 45 mg,blur
sodium_018.png,Garam (Natrium) 25 mg,overlap
sodium_019.png,Garam (Natrium) 0 mg,clear
sodium_020.png,Garam (natrium)/Salt (sodium) 25 mg,overlap
sodium_021.png,Garam(natrium)/Salt(sodium) 20 mg,overlap
sodium_022.png,Garam (natrium/Salt (sodium) 150 mg,overlap
sodium_023.png,Garam (Natrium) 125 mg,clear
sodium_024.png,Garam (Natrium / Sodium 210 mg,clear
sodium_025.png,Garam (Natrium) 125 mg,clear
sodium_026.png,Garam / Natrium / Sodium 130 mg,overlap
sodium_027.png,Garam / Natrium / Sodium 140 mg,clear
sodium_028.png,Garam / Natrium / Sodium 140 mg,clear
sodium_029.png,Natrium (Sodium) 160 mg,overlap
sodium_030.png,Garam (Natrium) / Sodium 150 mg,clear
sodium_031.png,Garam (Natrium) 55 mg,clear
sodium_032.png,Garam (natrium) 85 mg,overlap
sodium_033.png,Garam (Natrium) / Sodium 0 mg,clear
sodium_034.png,Garam (Natrium) 0 mg,clear
sodium_035.png,Garam (natrium) 10 mg,clear
sodium_036.png,Garam (Natrium) 0mg,overlap
sodium_037.png,Garam (Natrium) 0mg,overlap
sodium_038.png,Natrium / Sodium 0 mg,overlap
sodium_039.png,Natrium / Sodium 0 mg,overlap
sodium_040.png,Garam (Natrium) / Salt (Sodium) 0 mg,clear
sodium_041.png,Natrium 5 mg,clear
sodium_042.png,Garam (Natrium) / Salt (Sodium) 0 mg,overlap
sodium_043.png,Garam (Natrium) 0 mg,clear
sodium_044.png,Garam (Natrium) 70 mg,overlap
sodium_045.png,Garam (Natrium) 15 mg,overlap
sodium_046.png,Garam(natrium) / Salt(sodium) 35 mg,blur
sodium_047.png,Garam (natrium) / Salt (sodium) 20 mg,overlap
sodium_048.png,Garam (Natrium) 15 mg,clear
sodium_049.png,Garam (Natrium) 35 mg,clear
sodium_050.png,Garam (Natrium) 35 mg,overlap
sodium_051.png,Garam (Natrium) 55 mg,clear
sodium_052.png,Garam (Natrium) 85 mg,overlap
sodium_053.png,Garam (Natrium) 35 mg,blur
sodium_054.png,Garam (Natrium) 35 mg,overlap
sodium_055.png,Garam (Natrium) 120 mg,glare
sodium_056.png,Garam (Natrium) / Salt (Sodium) 0 mg,clear
sodium_057.png,Garam / Natrium / Sodium 120 mg,clear
sodium_058.png,Garam (Natrium) 15 mg,clear
sodium_059.png,Salt (Sodium)/Garam (Natrium) 120 mg ,overlap
sodium_060.png,Garam (Natrium) 20 mg,clear
sodium_061.png,Garam (Natrium) 70 mg,clear
sodium_062.png,Garam (Natrium) 25 mg,blur
sodium_063.png,Garam (natrium)/Salt (sodium) 10 mg,overlap
sodium_064.png,Garam (Natrium) 20 mg,overlap
sodium_065.png,Garam (Natrium) 15 mg,blur
sodium_066.png,Garam (Natrium) 25 mg,overlap
sodium_067.png,Garam (Natrium) 150 mg,overlap
sodium_068.png,Garam (Natrium) 20 mg,clear
sodium_069.png,Garam (Natrium) 25 mg,overlap
sodium_070.png,Garam (Natrium) 30 mg,overlap
sodium_071.png,Garam (natrium) / Salt (sodium) 20 mg,clear
sodium_072.png,Garam (natrium) / Salt (sodium) 25 mg,overlap
sodium_073.png,Garam (Natrium) / Sodium / 鈉 135mg,clear
sodium_074.png,Garam (natrium)/ Salt (sodium) 10 mg,overlap
sodium_075.png,Garam (natrium)/ Salt (sodium) 35 mg,overlap
sodium_076.png,Garam (Natrium) 65 mg,overlap
sodium_077.png,Garam (Natrium)/ Salt (Sodium) 75 mg,overlap
sodium_078.png,Garam (Natrium)/Salt (Sodium) 85 mg,blur
sodium_079.png,Garam (Natrium)/Salt (Sodium) 85 mg,blur
sodium_080.png,Garam (natrium) / Salt (sodium) 25 mg,clear
sodium_081.png,Garam (natrium) / Salt (sodium) 25 mg,clear
sodium_082.png,Natrium/Sodium…........... 85 mg,clear
sodium_083.png,Garam (Natrium) / Salt (Sodium) 85 mg,clear
sodium_084.png,Garam (Natrium) 55 mg,clear
sugar_001.png,Gula 6 g,blur
sugar_002.png,Gula 26 g,clear
sugar_003.png,Gula / Sugar 5 g,glare
sugar_004.png,Gula 0 g,glare
sugar_005.png,Gula/Sugar 6 g,clear
sugar_006.png,Gula/Sugar 6 g,overlap
sugar_007.png,Gula / Sugar 0 g,overlap
sugar_008.png,Gula (Sugars) 19 g,clear
sugar_009.png,Gula 6 g,clear
sugar_010.png,Gula total 17 g,overlap
sugar_011.png,Gula Total 0g,clear
sugar_012.png,Gula Total 6 g,clear
sugar_013.png,Gula 21 g,clear
sugar_014.png,Gula 37 g,clear
sugar_015.png,Gula/ Sugar 9 g,clear
sugar_016.png,Gula/ Sugar 10 g,overlap
sugar_017.png,Gula 22 g,clear
sugar_018.png,Gula 19 g,clear
sugar_019.png,Gula 11 g,clear
sugar_020.png,Gula/Sugar 15 g,overlap
sugar_021.png,Gula/Sugar 18 g,overlap
sugar_022.png,Gula/Sugar 18 g,blur
sugar_023.png,Gula 22 g,clear
sugar_024.png,Gula / Sugar 17 g,clear
sugar_025.png,Gula 23 g,overlap
sugar_026.png,Gula / Sugar 17 g,overlap
sugar_027.png,Gula / Sugar 17 g,overlap
sugar_028.png,Gula / Sugar 14 g,clear
sugar_029.png,Gula (Sugar) 21 g,overlap
sugar_030.png,Gula / Sugar 21 g,clear
sugar_031.png,Gula 4 g,clear
sugar_032.png,Gula 12 g,overlap
sugar_033.png,Gula / Sugar 25 g,clear
sugar_034.png,Gula 11 g,clear
sugar_035.png,Gula Total 13 g,clear
sugar_036.png,Gula 13g,overlap
sugar_037.png,Gula 11g,overlap
sugar_038.png,Gula / Sugar 16 g,overlap
sugar_039.png,Gula / Sugar 16 g,overlap
sugar_040.png,Gula / Sugar 12 g,overlap
sugar_041.png,Gula 24 g,clear
sugar_042.png,Gula / Sugar 12 g,overlap
sugar_043.png,Gula Total 0 g,clear
sugar_044.png,Gula Total 0 g,clear
sugar_045.png,Gula 27 g,overlap
sugar_046.png,Gula / Sugars 21 g,blur
sugar_047.png,Gula / Sugars 25 g,overlap
sugar_048.png,Gula Total 12 g,clear
sugar_049.png,Gula 1 g,clear
sugar_050.png,Gula 1 g,overlap
sugar_051.png,Gula Total 10 g,clear
sugar_052.png,Gula Total 8 g,overlap
sugar_053.png,Gula Total 8 g,clear
sugar_054.png,Gula 1 g,overlap
sugar_055.png,Gula Total 20 g,glare
sugar_056.png,Gula / Sugar 12 g,clear
sugar_057.png,Gula / Sugar 18 g,overlap
sugar_058.png,Gula Total 9 g ,clear
sugar_059.png,Total Sugars/Gula Total 7 g,overlap
sugar_060.png,Gula Total 8 g,clear
sugar_061.png,Gula Total 21 g,clear
sugar_062.png,Gula 11 g,blur
sugar_063.png,Gula/Sugar 12 g,overlap
sugar_064.png,Gula 19 g,overlap
sugar_065.png,Gula 18 g,blur
sugar_066.png,Gula 18 g,overlap
sugar_067.png,Gula Total 8 g,overlap
sugar_068.png,Gula Total 8 g,clear
sugar_069.png,Gula 18 g,overlap
sugar_070.png,Gula 18 g,overlap
sugar_071.png,Gula / Sugars 25 g,clear
sugar_072.png,Gula / Sugars 20 g,overlap
sugar_073.png,Gula / Sugars / 糖 30g,clear
sugar_074.png,Gula/ Sugars 40 g,overlap
sugar_075.png,Gula / Sugars 21 g,clear
sugar_076.png,Gula 2 g,blur
sugar_077.png,Gula / Sugars 23 g,overlap
sugar_078.png,Gula / Sugars 23 g,clear
sugar_079.png,Gula / Sugars 23 g,overlap
sugar_080.png,Gula / Sugar 40 g,overlap
sugar_081.png,Gula / Sugar 40 g,clear
sugar_082.png,Gula/Sugar....................10 g,clear
sugar_083.png,Gula / Sugar 9 g,overlap
sugar_084.png,Gula 4 g,clear
